size_mb,concurrency,source,sample,ok,latency_ms,bytes,error
50,24,local,21,1,3817.7,52428800,
50,24,local,22,1,3618.5,52428800,
50,24,local,23,1,3569.0,52428800,
50,1,remote,0,1,1094.6,52428800,
50,1,remote,1,1,911.0,52428800,
50,1,remote,2,1,878.4,52428800,
50,1,remote,3,1,857.9,52428800,
50,1,remote,4,1,822.2,52428800,
50,1,remote,5,1,846.9,52428800,
50,1,remote,6,1,823.4,52428800,
50,1,remote,7,1,912.3,52428800,
50,1,remote,8,1,857.1,52428800,
50,1,remote,9,1,860.4,52428800,
50,1,remote,10,1,914.0,52428800,
50,1,remote,11,1,949.7,52428800,
50,1,remote,12,1,961.5,52428800,
50,1,remote,13,1,823.6,52428800,
50,1,remote,14,1,823.9,52428800,
50,1,remote,15,1,874.5,52428800,
50,1,remote,16,1,889.0,52428800,
50,1,remote,17,1,853.3,52428800,
50,1,remote,18,1,886.9,52428800,
50,1,remote,19,1,858.4,52428800,
50,1,remote,20,1,938.7,52428800,
50,1,remote,21,1,859.6,52428800,
50,1,remote,22,1,936.6,52428800,
50,1,remote,23,1,843.2,52428800,
50,8,remote,0,1,2619.9,52428800,
50,8,remote,1,1,2657.9,52428800,
50,8,remote,2,1,2613.9,52428800,
50,8,remote,3,1,2569.6,52428800,
50,8,remote,4,1,2653.7,52428800,
50,8,remote,5,1,2644.4,52428800,
50,8,remote,6,1,2663.2,52428800,
50,8,remote,7,1,2626.0,52428800,
50,8,remote,8,1,2467.6,52428800,
50,8,remote,9,1,2534.3,52428800,
50,8,remote,10,1,2499.4,52428800,
50,8,remote,11,1,2496.2,52428800,
50,8,remote,12,1,2521.2,52428800,
50,8,remote,13,1,2503.1,52428800,
50,8,remote,14,1,2478.6,52428800,
50,8,remote,15,1,2479.7,52428800,
50,8,remote,16,1,2776.8,52428800,
50,8,remote,17,1,2792.2,52428800,
50,8,remote,18,1,2759.6,52428800,
50,8,remote,19,1,2754.0,52428800,
50,8,remote,20,1,2732.0,52428800,
50,8,remote,21,1,2749.8,52428800,
50,8,remote,22,1,2762.1,52428800,
50,8,remote,23,1,2757.7,52428800,
50,24,remote,0,1,6968.6,52428800,
50,24,remote,1,1,7035.7,52428800,
50,24,remote,2,1,7030.8,52428800,
50,24,remote,3,1,6823.2,52428800,
50,24,remote,4,1,6970.1,52428800,
50,24,remote,5,1,7030.2,52428800,
50,24,remote,6,1,6929.6,52428800,
50,24,remote,7,1,7008.4,52428800,
50,24,remote,8,1,6802.1,52428800,
50,24,remote,9,1,6980.1,52428800,
50,24,remote,10,1,6726.5,52428800,
50,24,remote,11,1,6992.6,52428800,
50,24,remote,12,1,6957.3,52428800,
50,24,remote,13,1,6873.3,52428800,
50,24,remote,14,1,6921.2,52428800,
50,24,remote,15,1,6953.5,52428800,
50,24,remote,16,1,6959.6,52428800,
50,24,remote,17,1,6909.7,52428800,
50,24,remote,18,1,7009.1,52428800,
50,24,remote,19,1,6960.0,52428800,
50,24,remote,20,1,6981.5,52428800,
50,24,remote,21,1,6972.6,52428800,
50,24,remote,22,1,6917.3,52428800,
50,24,remote,23,1,6836.0,52428800,
